service_id,date,exception_type
9931-Weekday-1-18SUM-1111100,20180731,1
9931-Weekday-1-18SUM-1111100,20180801,1
9931-Weekday-1-18SUM-1111100,20180802,1
9931-Weekday-1-18SUM-1111100,20180803,1
9931-Weekday-1-18SUM-1111100,20180806,1
9931-Weekday-1-18SUM-1111100,20180807,1
9931-Weekday-1-18SUM-1111100,20180808,1
9931-Weekday-1-18SUM-1111100,20180809,1
9931-Weekday-1-18SUM-1111100,20180810,1
9931-Weekday-1-18SUM-1111100,20180813,1
9931-Weekday-1-18SUM-1111100,20180814,1
9931-Weekday-1-18SUM-1111100,20180815,1
9931-Weekday-1-18SUM-1111100,20180816,1
9931-Weekday-1-18SUM-1111100,20180817,1
9931-Weekday-1-18SUM-1111100,20180820,1
9931-Weekday-1-18SUM-1111100,20180821,1
9931-Weekday-1-18SUM-1111100,20180822,1
9931-Weekday-1-18SUM-1111100,20180823,1
9931-Weekday-1-18SUM-1111100,20180824,1
9931-Weekday-1-18SUM-1111100,20180827,1
9931-Weekday-1-18SUM-1111100,20180828,1
9931-Weekday-1-18SUM-1111100,20180829,1
9931-Weekday-1-18SUM-1111100,20180830,1
9931-Weekday-1-18SUM-1111100,20180831,1
9932-Weekday-1-18SPRI-1111100,20180611,1
9932-Weekday-1-18SPRI-1111100,20180612,1
9932-Weekday-1-18SPRI-1111100,20180613,1
9932-Weekday-1-18SPRI-1111100,20180614,1
9932-Weekday-1-18SPRI-1111100,20180615,1
9932-Weekday-1-18SPRI-1111100,20180618,1
9932-Weekday-1-18SPRI-1111100,20180619,1
9932-Weekday-1-18SPRI-1111100,20180620,1
9932-Weekday-1-18SPRI-1111100,20180621,1
9932-Weekday-1-18SPRI-1111100,20180622,1
9932-Weekday-1-18SUM-1111100,20180625,1
9932-Weekday-1-18SUM-1111100,20180626,1
9932-Weekday-1-18SUM-1111100,20180627,1
9932-Weekday-1-18SUM-1111100,20180628,1
9932-Weekday-1-18SUM-1111100,20180629,1
9932-Weekday-1-18SUM-1111100,20180703,1
9932-Weekday-1-18SUM-1111100,20180704,1
9932-Weekday-1-18SUM-1111100,20180705,1
9932-Weekday-1-18SUM-1111100,20180706,1
9932-Weekday-1-18SUM-1111100,20180709,1
9932-Weekday-1-18SUM-1111100,20180710,1
9932-Weekday-1-18SUM-1111100,20180711,1
9932-Weekday-1-18SUM-1111100,20180712,1
9932-Weekday-1-18SUM-1111100,20180713,1
9932-Weekday-1-18SUM-1111100,20180716,1
9932-Weekday-1-18SUM-1111100,20180717,1
9932-Weekday-1-18SUM-1111100,20180718,1
9932-Weekday-1-18SUM-1111100,20180719,1
9932-Weekday-1-18SUM-1111100,20180720,1
9932-Weekday-1-18SUM-1111100,20180723,1
9932-Weekday-1-18SUM-1111100,20180724,1
9932-Weekday-1-18SUM-1111100,20180725,1
9932-Weekday-1-18SUM-1111100,20180726,1
9932-Weekday-1-18SUM-1111100,20180727,1
9932-Weekday-1-18SUM-1111100,20180730,1
9932-Weekday-1-18SUM-1111100,20180731,1
9932-Weekday-1-18SUM-1111100,20180801,1
9932-Weekday-1-18SUM-1111100,20180802,1
9932-Weekday-1-18SUM-1111100,20180803,1
9932-Weekday-1-18SUM-1111100,20180806,1
9932-Weekday-1-18SUM-1111100,20180807,1
9932-Weekday-1-18SUM-1111100,20180808,1
9932-Weekday-1-18SUM-1111100,20180809,1
9932-Weekday-1-18SUM-1111100,20180810,1
9932-Weekday-1-18SUM-1111100,20180813,1
9932-Weekday-1-18SUM-1111100,20180814,1
9932-Weekday-1-18SUM-1111100,20180815,1
9932-Weekday-1-18SUM-1111100,20180816,1
9932-Weekday-1-18SUM-1111100,20180817,1
9932-Weekday-1-18SUM-1111100,20180820,1
9932-Weekday-1-18SUM-1111100,20180821,1
9932-Weekday-1-18SUM-1111100,20180822,1
9932-Weekday-1-18SUM-1111100,20180823,1
9932-Weekday-1-18SUM-1111100,20180824,1
9932-Weekday-1-18SUM-1111100,20180827,1
9932-Weekday-1-18SUM-1111100,20180828,1
9932-Weekday-1-18SUM-1111100,20180829,1
9932-Weekday-1-18SUM-1111100,20180830,1
9932-Weekday-1-18SUM-1111100,20180831,1
9951-Weekday-1-18SPRI-1111100,20180611,1
9951-Weekday-1-18SPRI-1111100,20180612,1
9951-Weekday-1-18SPRI-1111100,20180613,1
9951-Weekday-1-18SPRI-1111100,20180614,1
9951-Weekday-1-18SPRI-1111100,20180615,1
9951-Weekday-1-18SPRI-1111100,20180618,1
9951-Weekday-1-18SPRI-1111100,20180619,1
9951-Weekday-1-18SPRI-1111100,20180620,1
9951-Weekday-1-18SPRI-1111100,20180621,1
9951-Weekday-1-18SPRI-1111100,20180622,1
9952-Weekday-1-18SPRI-1111100,20180611,1
9952-Weekday-1-18SPRI-1111100,20180612,1
9952-Weekday-1-18SPRI-1111100,20180613,1
9952-Weekday-1-18SPRI-1111100,20180614,1
9952-Weekday-1-18SPRI-1111100,20180615,1
9952-Weekday-1-18SPRI-1111100,20180618,1
9952-Weekday-1-18SPRI-1111100,20180619,1
9952-Weekday-1-18SPRI-1111100,20180620,1
9952-Weekday-1-18SPRI-1111100,20180621,1
9952-Weekday-1-18SPRI-1111100,20180622,1
9953-Weekday-1-18SPRI-1111100,20180611,1
9953-Weekday-1-18SPRI-1111100,20180612,1
9953-Weekday-1-18SPRI-1111100,20180613,1
9953-Weekday-1-18SPRI-1111100,20180614,1
9953-Weekday-1-18SPRI-1111100,20180615,1
9953-Weekday-1-18SPRI-1111100,20180618,1
9953-Weekday-1-18SPRI-1111100,20180619,1
9953-Weekday-1-18SPRI-1111100,20180620,1
9953-Weekday-1-18SPRI-1111100,20180621,1
9953-Weekday-1-18SPRI-1111100,20180622,1
9954-Weekday-1-18SPRI-1111100,20180611,1
9954-Weekday-1-18SPRI-1111100,20180612,1
9954-Weekday-1-18SPRI-1111100,20180613,1
9954-Weekday-1-18SPRI-1111100,20180614,1
9954-Weekday-1-18SPRI-1111100,20180615,1
9954-Weekday-1-18SPRI-1111100,20180618,1
9954-Weekday-1-18SPRI-1111100,20180619,1
9954-Weekday-1-18SPRI-1111100,20180620,1
9954-Weekday-1-18SPRI-1111100,20180621,1
9954-Weekday-1-18SPRI-1111100,20180622,1
9963-Weekday-1-18SPRI-1111100,20180611,1
9963-Weekday-1-18SPRI-1111100,20180612,1
9963-Weekday-1-18SPRI-1111100,20180613,1
9963-Weekday-1-18SPRI-1111100,20180614,1
9963-Weekday-1-18SPRI-1111100,20180615,1
9963-Weekday-1-18SPRI-1111100,20180618,1
9963-Weekday-1-18SPRI-1111100,20180619,1
9963-Weekday-1-18SPRI-1111100,20180620,1
9963-Weekday-1-18SPRI-1111100,20180621,1
9963-Weekday-1-18SPRI-1111100,20180622,1
9964-Weekday-1-18SPRI-1111100,20180611,1
9964-Weekday-1-18SPRI-1111100,20180612,1
9964-Weekday-1-18SPRI-1111100,20180613,1
9964-Weekday-1-18SPRI-1111100,20180614,1
9964-Weekday-1-18SPRI-1111100,20180615,1
9964-Weekday-1-18SPRI-1111100,20180618,1
9964-Weekday-1-18SPRI-1111100,20180619,1
9964-Weekday-1-18SPRI-1111100,20180620,1
9964-Weekday-1-18SPRI-1111100,20180621,1
9964-Weekday-1-18SPRI-1111100,20180622,1
9983-Weekday-1-18SPRI-1111100,20180611,1
9983-Weekday-1-18SPRI-1111100,20180612,1
9983-Weekday-1-18SPRI-1111100,20180613,1
9983-Weekday-1-18SPRI-1111100,20180614,1
9983-Weekday-1-18SPRI-1111100,20180615,1
9983-Weekday-1-18SPRI-1111100,20180618,1
9983-Weekday-1-18SPRI-1111100,20180619,1
9983-Weekday-1-18SPRI-1111100,20180620,1
9983-Weekday-1-18SPRI-1111100,20180621,1
9983-Weekday-1-18SPRI-1111100,20180622,1
9983-Weekday-1-18SUM-1111100,20180625,1
9983-Weekday-1-18SUM-1111100,20180626,1
9983-Weekday-1-18SUM-1111100,20180627,1
9983-Weekday-1-18SUM-1111100,20180628,1
9983-Weekday-1-18SUM-1111100,20180629,1
9983-Weekday-1-18SUM-1111100,20180703,1
9983-Weekday-1-18SUM-1111100,20180704,1
9983-Weekday-1-18SUM-1111100,20180705,1
9983-Weekday-1-18SUM-1111100,20180706,1
9983-Weekday-1-18SUM-1111100,20180709,1
9983-Weekday-1-18SUM-1111100,20180710,1
9983-Weekday-1-18SUM-1111100,20180711,1
9983-Weekday-1-18SUM-1111100,20180712,1
9983-Weekday-1-18SUM-1111100,20180713,1
9983-Weekday-1-18SUM-1111100,20180716,1
9983-Weekday-1-18SUM-1111100,20180717,1
9983-Weekday-1-18SUM-1111100,20180718,1
9983-Weekday-1-18SUM-1111100,20180719,1
9983-Weekday-1-18SUM-1111100,20180720,1
9983-Weekday-1-18SUM-1111100,20180723,1
9983-Weekday-1-18SUM-1111100,20180724,1
9983-Weekday-1-18SUM-1111100,20180725,1
9983-Weekday-1-18SUM-1111100,20180726,1
9983-Weekday-1-18SUM-1111100,20180727,1
9983-Weekday-1-18SUM-1111100,20180730,1
9983-Weekday-1-18SUM-1111100,20180731,1
9983-Weekday-1-18SUM-1111100,20180801,1
9983-Weekday-1-18SUM-1111100,20180802,1
9983-Weekday-1-18SUM-1111100,20180803,1
9983-Weekday-1-18SUM-1111100,20180806,1
9983-Weekday-1-18SUM-1111100,20180807,1
9983-Weekday-1-18SUM-1111100,20180808,1
9983-Weekday-1-18SUM-1111100,20180809,1
9983-Weekday-1-18SUM-1111100,20180810,1
9983-Weekday-1-18SUM-1111100,20180813,1
9983-Weekday-1-18SUM-1111100,20180814,1
9983-Weekday-1-18SUM-1111100,20180815,1
9983-Weekday-1-18SUM-1111100,20180816,1
9983-Weekday-1-18SUM-1111100,20180817,1
9983-Weekday-1-18SUM-1111100,20180820,1
9983-Weekday-1-18SUM-1111100,20180821,1
9983-Weekday-1-18SUM-1111100,20180822,1
9983-Weekday-1-18SUM-1111100,20180823,1
9983-Weekday-1-18SUM-1111100,20180824,1
9983-Weekday-1-18SUM-1111100,20180827,1
9983-Weekday-1-18SUM-1111100,20180828,1
9983-Weekday-1-18SUM-1111100,20180829,1
9983-Weekday-1-18SUM-1111100,20180830,1
9983-Weekday-1-18SUM-1111100,20180831,1
9-Saturday-1-18SPRI-0000010,20180609,1
9-Saturday-1-18SPRI-0000010,20180616,1
9-Saturday-1-18SPRI-0000010,20180623,1
9-Saturday-1-18SUM-0000010,20180630,1
9-Saturday-1-18SUM-0000010,20180707,1
9-Saturday-1-18SUM-0000010,20180714,1
9-Saturday-1-18SUM-0000010,20180721,1
9-Saturday-1-18SUM-0000010,20180728,1
9-Saturday-1-18SUM-0000010,20180804,1
9-Saturday-1-18SUM-0000010,20180811,1
9-Saturday-1-18SUM-0000010,20180818,1
9-Saturday-1-18SUM-0000010,20180825,1
9-Saturday-1-18SUM-0000010,20180901,1
9-Sunday-1-18SPRI-0000001,20180610,1
9-Sunday-1-18SPRI-0000001,20180617,1
9-Sunday-1-18SPRI-0000001,20180624,1
9-Sunday-1-18SUM-0000001,20180701,1
9-Sunday-1-18SUM-0000001,20180702,1
9-Sunday-1-18SUM-0000001,20180708,1
9-Sunday-1-18SUM-0000001,20180715,1
9-Sunday-1-18SUM-0000001,20180722,1
9-Sunday-1-18SUM-0000001,20180729,1
9-Sunday-1-18SUM-0000001,20180805,1
9-Sunday-1-18SUM-0000001,20180812,1
9-Sunday-1-18SUM-0000001,20180819,1
9-Sunday-1-18SUM-0000001,20180826,1
9-Sunday-1-18SUM-0000001,20180902,1
9-Weekday-1-18SPRI-1111100,20180611,1
9-Weekday-1-18SPRI-1111100,20180612,1
9-Weekday-1-18SPRI-1111100,20180613,1
9-Weekday-1-18SPRI-1111100,20180614,1
9-Weekday-1-18SPRI-1111100,20180615,1
9-Weekday-1-18SPRI-1111100,20180618,1
9-Weekday-1-18SPRI-1111100,20180619,1
9-Weekday-1-18SPRI-1111100,20180620,1
9-Weekday-1-18SPRI-1111100,20180621,1
9-Weekday-1-18SPRI-1111100,20180622,1
9-Weekday-1-18SUM-1111100,20180625,1
9-Weekday-1-18SUM-1111100,20180626,1
9-Weekday-1-18SUM-1111100,20180627,1
9-Weekday-1-18SUM-1111100,20180628,1
9-Weekday-1-18SUM-1111100,20180629,1
9-Weekday-1-18SUM-1111100,20180703,1
9-Weekday-1-18SUM-1111100,20180704,1
9-Weekday-1-18SUM-1111100,20180705,1
9-Weekday-1-18SUM-1111100,20180706,1
9-Weekday-1-18SUM-1111100,20180709,1
9-Weekday-1-18SUM-1111100,20180710,1
9-Weekday-1-18SUM-1111100,20180711,1
9-Weekday-1-18SUM-1111100,20180712,1
9-Weekday-1-18SUM-1111100,20180713,1
9-Weekday-1-18SUM-1111100,20180716,1
9-Weekday-1-18SUM-1111100,20180717,1
9-Weekday-1-18SUM-1111100,20180718,1
9-Weekday-1-18SUM-1111100,20180719,1
9-Weekday-1-18SUM-1111100,20180720,1
9-Weekday-1-18SUM-1111100,20180723,1
9-Weekday-1-18SUM-1111100,20180724,1
9-Weekday-1-18SUM-1111100,20180725,1
9-Weekday-1-18SUM-1111100,20180726,1
9-Weekday-1-18SUM-1111100,20180727,1
9-Weekday-1-18SUM-1111100,20180730,1
9-Weekday-1-18SUM-1111100,20180731,1
9-Weekday-1-18SUM-1111100,20180801,1
9-Weekday-1-18SUM-1111100,20180802,1
9-Weekday-1-18SUM-1111100,20180803,1
9-Weekday-1-18SUM-1111100,20180806,1
9-Weekday-1-18SUM-1111100,20180807,1
9-Weekday-1-18SUM-1111100,20180808,1
9-Weekday-1-18SUM-1111100,20180809,1
9-Weekday-1-18SUM-1111100,20180810,1
9-Weekday-1-18SUM-1111100,20180813,1
9-Weekday-1-18SUM-1111100,20180814,1
9-Weekday-1-18SUM-1111100,20180815,1
9-Weekday-1-18SUM-1111100,20180816,1
9-Weekday-1-18SUM-1111100,20180817,1
9-Weekday-1-18SUM-1111100,20180820,1
9-Weekday-1-18SUM-1111100,20180821,1
9-Weekday-1-18SUM-1111100,20180822,1
9-Weekday-1-18SUM-1111100,20180823,1
9-Weekday-1-18SUM-1111100,20180824,1
9-Weekday-1-18SUM-1111100,20180827,1
9-Weekday-1-18SUM-1111100,20180828,1
9-Weekday-1-18SUM-1111100,20180829,1
9-Weekday-1-18SUM-1111100,20180830,1
9-Weekday-1-18SUM-1111100,20180831,1
